Names,links
Soursop,https://upload.wikimedia.org/wikipedia/commons/6/6d/Annona_muricata_1.jpg
Tansy,https://upload.wikimedia.org/wikipedia/commons/d/d6/Tanacetum_vulgare_-_harilik_soolikarohi_Keilas2.jpg
Themeda (Kangaroo Grass),https://upload.wikimedia.org/wikipedia/commons/5/53/Themeda_triandra_-_kangaroo_grass.jpg
Tuberose (Polianthes),https://upload.wikimedia.org/wikipedia/commons/8/8e/Tuberose_flower.jpg
Wattle,https://upload.wikimedia.org/wikipedia/commons/9/9b/Acacia_pycnantha_Golden_Wattle.jpg
Zea Mays (Corn),https://upload.wikimedia.org/wikipedia/commons/b/b7/Corncobs_edit1.jpg
Zebra Grass,https://upload.wikimedia.org/wikipedia/commons/4/45/Equus_quagga_burchellii_-_Etosha%2C_2014.jpg
Achillea (Yarrow),https://upload.wikimedia.org/wikipedia/commons/1/1a/Achillea_millefolium_%28bright%29.jpg
Angelonia,https://upload.wikimedia.org/wikipedia/commons/5/50/Maypurpleflower.jpg
Bearded Iris,https://upload.wikimedia.org/wikipedia/commons/f/f8/Iris_sanguinea_cultivar%2C_Wakehurst_Place%2C_UK_-_Diliff.jpg
Black Currant,https://upload.wikimedia.org/wikipedia/commons/0/05/Ribes_nigrum_a1.JPG
Bloodroot,https://upload.wikimedia.org/wikipedia/commons/6/6b/Sanguinaria_canadensis_Arkansas.jpg
Carob Tree,https://upload.wikimedia.org/wikipedia/commons/1/1d/Ceratonia_siliqua_Keciboynuzu_1370984_Nevit.jpg
Clover,https://upload.wikimedia.org/wikipedia/commons/8/8d/79_Trifolium_repens_L.jpg
Daffodils,https://upload.wikimedia.org/wikipedia/commons/6/63/Narcissus_poeticus_subsp._radiiflorus.1658.jpg
Dogwood Tree,https://upload.wikimedia.org/wikipedia/commons/4/49/Bgbo_cornus_kousa_var_chinensis_ies.jpg
Engelmann Spruce,https://upload.wikimedia.org/wikipedia/commons/e/ea/Engelmann_spruce_on_the_PCT%2C_Washington.JPG
Fairy Lantern,https://upload.wikimedia.org/wikipedia/commons/5/5c/Calochortus_albus_flowers.jpg
Fritillaria,https://upload.wikimedia.org/wikipedia/commons/6/68/Fritillaria_meleagris0.jpg
Galax,https://upload.wikimedia.org/wikipedia/commons/2/28/Galax_urceolata.jpg
Ginkgo,https://upload.wikimedia.org/wikipedia/commons/e/e0/GINKGOBAUM-2.jpg
Grape Hyacinth,https://upload.wikimedia.org/wikipedia/commons/7/7e/Hyacinth_-_Anglesey_Abbey.jpg
Guar,https://upload.wikimedia.org/wikipedia/commons/9/9b/Cluster_bean-guar-Cyamopsis_psoralioides-Cyamopsis_tetragonolobus-TAMIL_NADU73.jpg
Gumwood Tree,https://upload.wikimedia.org/wikipedia/commons/e/e8/MELLISS%281875%29_p395_-_PLATE_41_-_Psiadia_Rotundifolia.jpg
Goldenrods,https://upload.wikimedia.org/wikipedia/commons/e/e2/Solidago_nemoralis.jpg
Goldenseal,https://upload.wikimedia.org/wikipedia/commons/b/bd/Hydrastis_canadensis.jpg
Heliopsis,https://upload.wikimedia.org/wikipedia/commons/1/15/Heliopsis_July_2011-2.jpg
Henbane,https://upload.wikimedia.org/wikipedia/commons/4/4f/Hyoscyamus_niger_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-073.jpg
Heracleum (Cow Parsnip),https://upload.wikimedia.org/wikipedia/commons/7/79/Heracleum_lanatum_from_High_Trail.jpg
Hops Vine,https://upload.wikimedia.org/wikipedia/commons/1/18/%22A_Momordica_charantia-_bitter_guard_plant%22.jpg
Indian Grass,https://upload.wikimedia.org/wikipedia/commons/b/bd/YosriNov04Pokok_Serai.JPG
Jerusalem Artichoke,https://upload.wikimedia.org/wikipedia/commons/a/ae/Sunroot_top.jpg
Laelia Orchid,https://upload.wikimedia.org/wikipedia/commons/8/81/Laelia-anceps.jpg
Ligustrum,https://upload.wikimedia.org/wikipedia/commons/0/0d/FloweringLigustrumLucidumTree.jpg
Lilac Tree,https://upload.wikimedia.org/wikipedia/commons/c/c6/Stockholm-lilac.jpg
